视频id,视频发布日期,视频标题,总粉丝量(抖+火去重，和端上不一致),游戏内容类型3级标签名称(通过4级标签映射),游戏内容类型4级标签名称(人审+模型+可用状态),视频链接,是否投稿后两日内达到1W+ VV的视频,,,,,,,,,,,,
7487156622414843151,2025/3/29 17:11,打对抗路没意思，还是去找对面的打野吧,2985390,游戏解说,实战解说,https://www.douyin.com/share/video/7487156622414843151/?mid=7487156709077633830,0,,,,,,,,,,,,
7479103697188818212,2025/3/8 0:22,中高分东方曜顶级运营，金牌mvp打爆天敌露娜#曜教学#国服 #东方曜,11185,攻略类,游戏攻略,https://www.douyin.com/share/video/7479103697188818212/?mid=7479103950717848329,0,,,,,,,,,,,,
7482623898849185051,2025/3/17 12:02,宝宝大人！请查收今日张飞辅助教学！#王者 #张飞 #张飞辅助 #电子男友,51092,游戏解说,实战解说,https://www.douyin.com/share/video/7482623898849185051/?mid=6926496597442381838,0,,,,,,,,,,,,
7484032228347972883,2025/3/21 7:08,2100晋级赛遇到系统制裁局，队友挂机的情况下也能3v5绝境翻盘#艾琳 #全局教学,114987,游戏解说,实战解说,https://www.douyin.com/share/video/7484032228347972883/?mid=7484033045192919817,0,,,,,,,,,,,,
7483872342792326451,2025/3/20 20:47,思路正确 你才能突破低分苦海#猴子教学 #抖王杯,11521,游戏解说,实战解说,https://www.douyin.com/share/video/7483872342792326451/?mid=7483872422895078153,0,,,,,,,,,,,,
7493001568690687284,2025/4/14 11:16,米莱狄对线甄姬全程教学 #米莱狄教学 素材提供@小欢 (国服米莱狄）,1824300,游戏解说,实战解说,https://www.douyin.com/share/video/7493001568690687284/?mid=7493002595577973555,0,,,,,,,,,,,,
7486070874215386404,2025/3/26 18:58,你们要的逆风局教学来了 #暗信 #玖风暗信,145412,攻略类,游戏攻略,https://www.douyin.com/share/video/7486070874215386404/?mid=7486070777805015844,0,,,,,,,,,,,,
7492427226286263603,2025/4/12 22:09,女娲火舞平分秋色！周瑜再吃版本黑利！新赛季法师梯度排行！ #张大仙 #王者 #法师梯度排行,971741,攻略类,游戏攻略,https://www.douyin.com/share/video/7492427226286263603/?mid=7492428613963254565,0,,,,,,,,,,,,
7492334190617267491,2025/4/12 16:06,为什么打了输出却被判定为无效输出，有效输出是0% #王者荣耀s39赛季巅峰赛登顶 #王者荣耀,4139781,游戏解说,实战解说,https://www.douyin.com/share/video/7492334190617267491/?mid=7492334980098870055,0,,,,,,,,,,,,
7489382486112357683,2025/4/4 17:09,玩打野如何做好每一波决策判断#打野教学 #细节操作 #国服橘右京 #游戏教学,2441,攻略类,游戏攻略,https://www.douyin.com/share/video/7489382486112357683/?mid=7489382490923272969,0,,,,,,,,,,,,
7480085957690150159,2025/3/10 15:55,峡谷世界之疯狂的赵云： 赵云打野能抗能打还有控，完美#王者搞笑 #上分技巧 #峡谷大案,16370,游戏解说,世界观解说,https://www.douyin.com/share/video/7480085957690150159/?mid=7480086511996652325,0,,,,,,,,,,,,
7489806184191528228,2025/4/5 20:38,国服杨玉环新赛季巅峰全局思路 #杨玉环教学 #法师教学 #中路教学,56929,攻略类,游戏攻略,https://www.douyin.com/share/video/7489806184191528228/?mid=7489807605276183305,0,,,,,,,,,,,,
7479758477934611722,2025/3/9 18:43,今天这身衣服 格外符合你的气质诶！#猎奇 #细节操作#101俱乐部,2344593,游戏解说,实战解说,https://www.douyin.com/share/video/7479758477934611722/?mid=7479758572444748581,0,,,,,,,,,,,,
7483779285866630400,2025/3/20 14:46,巅峰前百带飞职业 6分钟平推版本老虎,40900,攻略类,游戏攻略,https://www.douyin.com/share/video/7483779285866630400/?mid=7483778555781401396,0,,,,,,,,,,,,
7486099378692738319,2025/3/26 20:49,一波处理不好，你就会被对面卡线整的很难受 #姬小满 #暗信 #王者荣耀,356799,游戏解说,实战解说,https://www.douyin.com/share/video/7486099378692738319/?mid=7486099316671613707,0,,,,,,,,,,,,
